id,gap_convdate_appcreated,days_active_app,utm_source,device_model,Android_app_version,device_price_cat,grade,current_streak,max_streak,total_timespent_last7D,comp_activity,comp_news,comp_reading,submitq_attempt,submitq_accuracy,total_navigations,total_visit,freados_earned,user_category
17275358-24a1-479a-85ef-fcb247c921db,12,3,Organic,ONEPLUS A5000,5.7.1.6,High,Grade 2,0,0,13.58333333,0,0,0,0,0,7,0,0,#N/A
172f800a-4630-48e5-a313-7c8127e93f07,2,5,Organic,SM-A515F,5.7.1.6,High,Grade 3,0,1,33.48333333,0,0,0,0,0,10,0,200,#N/A
1751b735-a3b3-493d-99b0-017a60cec6f7,2,2,Organic,DN2101,5.7.1.6,High,Grade 4,0,2,18.95,1,0,0,5,0.6,13,0,1290,#N/A
175a9942-9e19-4dfb-ad84-c459c8fba1ab,3,3,Club1BR,CPH2251,5.7.1.7,High,Grade 4,0,1,13.66666667,0,0,0,0,0,7,0,100,wwxizq
175f727d-4e6f-47a9-ba25-7201df80736d,9,2,Club1BR,SM-G950F,5.7.1.6,High,Grade 6,0,0,0,0,0,0,0,0,7,0,0,933095
178b090d-1e39-43ce-b82c-d0e8f412cb1d,686,1,Club1BR,SM-A225F,5.7.1.6,Medium,Grade 2,0,0,10.1,0,0,0,0,0,6,0,0,112064
17e4f100-b381-4827-b25c-f5f65f26351f,4,4,Organic,CPH2285,5.7.1.7,High,Grade 1,2,3,57.46666667,4,0,0,7,0.714285714,40,0,4070,#N/A
17ecc6ac-0751-4b2b-ae4c-4025f7747072,3,4,Organic,REDMI 6A,5.7.1.6,Low,Grade 3,0,0,3.9,0,0,0,0,0,0,0,0,#N/A
18131062-ed99-408e-8939-4092516acd88,9,5,Organic,REDMI NOTE 7 PRO,5.7.1.6,Medium,Grade 3,0,1,10.23333333,0,0,0,0,0,0,0,0,#N/A
18146bfc-cb5b-422e-b99e-cd8697485bde,12,4,Club1BR,"IPAD11,3",0,High,Grade 6,0,0,0.25,0,0,0,0,0,4,0,0,avcrmk
1840a75f-b981-43c4-8160-83e15ea26faa,21,1,Organic,ONEPLUS A5010,5.7.1.6,High,Grade 6,0,0,0,0,0,0,0,0,4,0,0,#N/A
18411ea9-f6e2-4355-beab-7fd2823352b3,7,6,Club1BR,SM-A750F,5.7.1.7,Medium,Grade 1,0,1,58.76666667,0,0,0,5,0.6,22,1,0,avcrmk
18518abf-e708-4b6e-931e-4bfe306653c3,11,2,Club1BR,REDMI NOTE 7 PRO,5.7.1.5,Medium,Grade 2,0,0,17.5,0,0,0,0,0,16,0,0,869060
18993ebf-82eb-4853-9036-a1631593d434,6,3,Organic,SM-P615,5.7.1.6,High,Grade 3,0,0,21.21666667,0,0,0,0,0,11,0,0,#N/A
18b5e14d-8473-404f-aa0c-69ff05082bc1,8,1,Club1BR,SM-T515,5.7.1.6,Medium,Grade 5,0,0,0,0,0,0,0,0,0,0,0,avcrmk
18ead5e8-b86e-4ce2-b381-a3b8eec42f55,1052,2,Organic,EB2101,5.7.1.6,High,Grade 3,0,1,7.2,0,0,0,0,0,9,1,0,#N/A
18faefbb-daa2-439f-9486-8fb774e5e17f,4,2,Organic,REDMI NOTE 9 PRO MAX,5.7.1.6,Medium,Grade 5,0,0,8.366666667,0,0,0,0,0,1,0,0,#N/A
190eb01c-aee3-4c8a-8764-d1f1e3be21d6,9,5,Organic,SM-G965F,5.7.1.6,High,Grade 1,0,0,0,0,0,0,0,0,5,0,250,#N/A
1928ae8e-9e2d-47f9-8af8-2d958187a6ce,6,3,Organic,CPH2213,5.7.1.6,High,Grade 3,0,1,4.716666667,0,0,0,0,0,10,0,100,#N/A
1939d7f8-87a0-4028-889b-89bae56895a6,9,6,Club1BR,SM-T295,5.7.1.6,Medium,Grade 4,1,2,14.98333333,0,0,0,9,0.333333333,9,0,2600,bhwtnp
193d76d9-657b-4688-8a2c-c305e5105bc9,7,6,Club1BR,REDMI NOTE 7 PRO,5.7.1.6,Medium,Grade 3,0,0,65.5,0,0,0,37,0.243243243,44,3,3640,ybtduc
195bd494-ad32-4950-a051-65cfd60ed574,9,1,Club1BR,CPH1819,5.7.1.5,High,Grade 1,0,0,12.13333333,0,0,0,0,0,10,0,0,869060
195e1812-3fa2-4d4b-b0b4-e76d6efe9e49,237,1,Club1BR,RMX3265,5.7.1.6,0,Grade 1,0,0,4.833333333,0,0,0,0,0,3,3,0,lcqrfq
1971c87e-bfef-44a0-b7a4-32ad8e2488a9,18,3,Club1BR,SM-M215F,5.7.1.6,Medium,Grade 2,0,1,1.166666667,0,0,0,0,0,7,0,0,baymph
198033e7-ec38-4f15-a7b5-91471ff16515,23,6,Club1BR,M13,5.7.1.5,0,Grade 6,5,6,0,0,0,0,0,0,0,0,0,623231
1a2e3eae-4e5c-40c9-857d-76877b4ac337,6,9,Organic,1919,5.7.1.5,High,Grade 4,0,0,59.25,3,0,1,19,0.631578947,41,0,2810,#N/A
1a452d22-ef01-4c75-abbd-10e43fc59567,12,2,Club1BR,SM-J810G,5.7.1.5,Medium,Grade 4,0,0,5.466666667,0,0,0,0,0,2,0,0,ybtduc
1aa19953-ab3a-4e98-91f8-8ebb757bf4c4,2,2,Organic,V2036,5.7.1.6,Medium,Grade 3,0,2,22.06666667,0,6,0,19,0.368421053,11,0,5590,#N/A
1abbdafe-03ac-463e-a1fb-5dfe82bb5706,3,2,Club1BR,REDMI NOTE 7 PRO,5.7.1.6,Medium,Grade 3,0,0,10.85,0,0,0,0,0,7,0,0,437298
1ac17b56-728b-41d0-a460-43f0586ac468,41,7,Club1BR,RMX3360,5.7.1.4,High,Grade 1,0,0,46.3,0,0,0,5,0.6,14,2,950,25606
1acdc10d-4603-4583-8288-efcefc51e49f,6,1,Club1BR,CPH2213,5.7.1.6,High,Grade 3,0,0,9.366666667,0,0,0,0,0,0,0,0,ftoqzy
1b1158ce-9f4f-4cff-b558-c53dd5b1529c,30,1,Club1BR,MT2111,5.7.1.6,0,Grade 4,0,0,0.066666667,0,0,0,0,0,1,0,0,stxwgt
1b38b167-3b3a-4788-9b8e-a3051665ddcf,4,2,Organic,LENOVO TB-X306X,5.7.1.6,Medium,Grade 3,0,1,19.48333333,0,0,0,7,0.571428571,0,1,2600,#N/A
1b3f46df-1153-4b27-9764-24196fae6f5c,690,2,Club1BR,LE2101,5.7.1.6,High,Grade 6,0,0,14.88333333,0,0,0,0,0,5,0,0,933490
1b5a8b5c-63d3-4fb6-b69e-6e6ee2d824a9,11,5,Organic,"IPAD8,1",0,High,Senior KG,0,0,0,0,0,0,0,0,4,0,900,#N/A
1b61d0ff-d3b8-45d7-a917-517758c437f2,14,2,Club1BR,1803,5.7.1.5,Low,Grade 5,0,0,0.433333333,0,0,0,0,0,1,0,0,clmaqr
1b845137-4786-4ffc-a03f-836dbe416319,5,9,Organic,CPH2239,5.7.1.6,High,Grade 1,0,3,72.33333333,0,0,0,0,0,31,1,790,#N/A
1baea3d9-fe81-4d1f-b0b0-c4e29566fdb5,22,1,Club1BR,V2031,5.7.1.6,Low,Senior KG,0,0,0.25,0,0,0,0,0,0,0,0,23733
1bb8ff66-262e-4336-a470-981a6d8b6440,29,1,Organic,"IPAD7,5",0,High,Grade 1,0,0,10,0,0,0,10,0.8,4,0,2100,#N/A
1bfac530-0f6d-4616-8907-49d031dc0a86,2,2,Club1BR,"IPHONE11,8",0,High,Grade 4,0,0,20,0,0,0,0,0,7,0,200,acykcq
1bffd1a9-db13-4564-bb25-84502b62858f,75,1,Organic,"IPHONE12,1",0,High,Senior KG,0,0,0,0,0,0,0,0,0,0,0,#N/A
1c0b6844-7790-47b7-b706-f483997315ee,4,5,Club1BR,"IPAD5,3",0,High,Grade 2,0,1,63.75,0,0,0,0,0,55,0,850,332019
1c28b7da-b430-49af-8fc3-e35056fcd65c,10,5,Organic,SM-A105F,5.7.1.5,Low,Grade 5,0,0,2.433333333,1,1,0,3,0.333333333,2,0,250,#N/A
1c2b6a8f-d57f-4dc6-8b22-6dad90da299b,7,4,Club1BR,M2101K6P,5.7.1.7,Medium,Grade 5,1,1,43.1,0,0,0,7,1,13,0,0,ftoqzy
1c4de38d-2478-4403-b1b4-c14513339ccf,1,1,Club1BR,POCO M2 PRO,5.7.1.6,Medium,Grade 3,0,1,5.583333333,0,0,0,4,0.75,0,0,350,645198
